date,title,source,author,link
2018/12/06,Trump Bets His Second Term on Trade Deal With China,PJ Media,Roger L. Simon,https://www.realclearpolitics.com/2018/12/06/trump_bets_his_second_term_on_trade_deal_with_china_460614.html
2018/12/06,Bush's Funeral Wasn't About Trump. But Of Course It Was.,Politico,John Harris,https://www.realclearpolitics.com/2018/12/06/bush039s_funeral_wasn039t_about_trump_but_of_course_it_was_460620.html
2018/12/06,Trump Didn't Kill Bush Values,Wall Street Journal,Daniel Henninger,https://www.realclearpolitics.com/2018/12/06/trump_didn039t_kill_bush_values_460606.html
2018/12/06,America Is Paying an Awful Price for Trump,CNN,Frida Ghitis,https://www.realclearpolitics.com/2018/12/06/america_is_paying_an_awful_price_for_trump_460619.html
2018/12/06,Most Damning Evidence Yet of FISA Abuse by the FBI,The Hill,John Solomon,https://www.realclearpolitics.com/2018/12/06/most_damning_evidence_yet_of_fisa_abuse_by_the_fbi_460621.html
2018/12/06,How Trump Can Beat the Deep State Coup,Washington Times,Monica Crowley,https://www.realclearpolitics.com/2018/12/06/how_trump_can_beat_the_deep_state_coup_460618.html
2018/12/06,Is Trump Thinking of Jettisoning Pence?,Vanity Fair,Gabriel Sherman,https://www.realclearpolitics.com/2018/12/06/is_trump_thinking_of_jettisoning_pence_460613.html
2018/12/06,Dems' Huge 2020 Pack a Recipe for Chaos,New York Post,John Podhoretz,https://www.realclearpolitics.com/2018/12/06/dems039_huge_2020_pack_a_recipe_for_chaos_460605.html
2018/12/06,Facebook Emails Reveal What Really Drives Site,The Guardian,Julia Carrie Wong,https://www.realclearpolitics.com/2018/12/06/facebook_emails_reveal_what_really_drives_site_460609.html
2018/12/06,Measuring the Media's Obsession With Trump,RealClearPolitics,Kalev Leetaru,https://www.realclearpolitics.com/2018/12/06/measuring_the_media039s_obsession_with_trump_460598.html
2018/12/06,Even the Redskins Won't Hire Kaepernick? Enough Excuses,Slate,Nick Greene,https://www.realclearpolitics.com/2018/12/06/even_the_redskins_won039t_hire_kaepernick_enough_excuses_460625.html
2018/12/06,George H.W. Bush and a Letter to Live By,FOX News,Bret Baier,https://www.realclearpolitics.com/2018/12/06/george_hw_bush_and_a_letter_to_live_by_460623.html
2018/12/06,Is Biden Running? He Just Can't Decide,The Atlantic,Edward-Isaac Dovere,https://www.realclearpolitics.com/2018/12/06/is_biden_running_he_just_can039t_decide_460674.html
2018/12/06,Dems' 2020 Field Overrun by Washington Insiders,The Week,Ed Morrissey,https://www.realclearpolitics.com/2018/12/06/dems039_2020_field_overrun_by_washington_insiders_460610.html
2018/12/06,Why This Progressive Texan Can't Get Excited About Beto,WP,Elizabeth Bruenig,https://www.realclearpolitics.com/2018/12/06/why_this_progressive_texan_can039t_get_excited_about_beto_460672.html
2018/12/06,Democrats Are Just Too Darned Smart,The American Spectator,David Catron,https://www.realclearpolitics.com/2018/12/06/democrats_are_just_too_darned_smart_460658.html
2018/12/06,Evicted MI GOP Want to Vandalize the Executive Branch,Free-Press,Brian Dickerson,https://www.realclearpolitics.com/2018/12/06/evicted_mi_gop_want_to_vandalize_the_executive_branch_460659.html
2018/12/06,France's Combustible Climate Politics,New York Times,Bret Stephens,https://www.realclearpolitics.com/2018/12/06/france039s_combustible_climate_politics_460669.html
